ID,Rating,Review Content,Date,Country
R100LG1WGQ6RH3,1,Boo,28/08/2023,United Kingdom 
R102TPFZERK277,3,Ok for the price. Made from canvass not rubber or plastic and a bit rough on my wrist when using,30/06/2024,United Kingdom
R102VQHK2QOJPT,3,Thought these were value for money but have found they don't last as long as other brands,28/06/2021,United Kingdom
R10445AGNFNI5R,1,Broke after 1 month,13/03/2025,United Kingdom 
R107724LM40Q7H,1,"Absolutely disappointed with this product, my mouse didn’t work on it, fit for the bin, on the other hand they did look good",09/12/2024,United Kingdom
R1077APCUBY8XE,1,"The packaging is really impressive, however that’s the high point for me. Squirt a squirt and smell is intense, cloying and all pervasive. It’s most definitely not what I expected, I won’t be buying it again.",02/04/2022,United Kingdom 
R10884UETV1EQT,1,"This machine is very dangerous, it give extremely high readings, it told me my BP was 197/123. As you can imagine I was extremely worried but as I was due to go to work (I work in a hospital) I decided to get one of the nurses I work with to check it and my BP was 129/63. I would not recommend this machine, instead get a properly recognised/calibrated machine or even go to you gp/pharmacy.",11/12/2024,United Kingdom
R10BP1V4VEF4RE,2,"Was comfy on the wrist initially, but quality does not last unfortunately. As you can see in the images, (this pad was only used by 1 adult) it has to be replaced already.",07/07/2024,United Kingdom
R10DXA3U31R78G,1,Not perfect reading,30/03/2025,United Kingdom
R10L39003NSZJL,1,"What a waste of time by Creative.If you're plugging in USB anyway, why bother building a product that can't take data audio from USB. They've probably got 10 or 50p more profit by not including a tiny DAC, but excluded this as a purchase option for anyone seeking actual USB speakers. It's just so strange.",06/06/2020,United Kingdom
R10MK1XQ5VHJFO,2,Not fast charging,17/02/2025,United Kingdom 
R10MTRSE938PN6,2,"Smell is lovely, however it doesn't last very long. I moved it to various size rooms, but yet could only smell it immediately after it's been diffused and during the day you wouldn't smell anything. It's now sitting in a tiny powder room which hopefully will help to enhance the smell.",29/06/2023,United Kingdom 
R10OK03VYJHFLI,1,"Used once to try to mount a TV mount and stopped working on first use,clearly not up to the job! Sending back for a refund",07/07/2023,United Kingdom 
R10VDOOQHWS5CJ,3,Very good dose the job,25/08/2024,United Kingdom
R10VPKUKSKOW1S,1,The mower itself was fine but the plastic peg that pushes into the mower to attach the handle kept coming out. This was after using the mower 4 times on a 40 metre sq lawn. Amazon gave me a full refund but think they should send someone to collect it rather than I have to take it to the post office to send it back,15/07/2024,United Kingdom 
R10WMAYMY40059,3,item was wat it said,20/12/2024,United Kingdom
